Epic,Story ID,User Story,Description,Business Value,Effort,Dependencies

Assessment,US1.1,"As an Architect I want to map all docker-compose services so that I understand dependencies","Full service inventory and dependency graph",13,5,
Assessment,US1.2,"As an Architect I want to identify critical service chains so that I understand failure propagation","Identify main control flows",21,8,US1.1
Assessment,US1.3,"As a Senior Infra I want to map networking flows so that I identify fragility","Document L2/L3 flows including macvlan",34,13,
Assessment,US1.4,"As an Infra Engineer I want to replay deployment using internal tool so that I identify weak points","Full deployment replay",21,8,
Assessment,US1.5,"As a Senior Infra I want to reverse engineer deployment tool so that I understand orchestration gaps","Analyze image pull + ansible execution",34,13,
Assessment,US1.6,"As an Architect I want to analyze etcd usage so that I compare with Kubernetes control plane","Document key usage and node registry",34,13,
Assessment,US1.7,"As an Infra Engineer I want to extract Slack incidents so that I build real dataset","Parse Slack threads",21,8,
Assessment,US1.8,"As a Senior Infra I want to extract ServiceNow incidents so that I correlate issues","Export SNOW data",21,8,
Assessment,US1.9,"As an Architect I want to map incidents to architecture so that I prove systemic issues","Link incidents to root causes",34,13,US1.7
Assessment,US1.10,"As a Senior Infra I want to measure recovery time so that I quantify operational load","Measure MTTR",21,8,
Assessment,US1.11,"As an Infra Engineer I want to document rollback procedures so that I evaluate safety","Replay rollback",13,5,
Assessment,US1.12,"As an Architect I want to identify SPOFs so that I highlight risks","List SPOFs",34,8,
Assessment,US1.13,"As a Senior Infra I want to analyze deployment variability so that I detect nondeterminism","Compare deployment runs",21,8,
Assessment,US1.14,"As an Infra Engineer I want to capture deployment logs so that I analyze failure patterns","Collect logs",13,5,
Assessment,US1.15,"As an Architect I want to consolidate findings so that we establish baseline","Assessment summary",34,8,

FailureModel,US2.1,"As an Architect I want to define failure taxonomy so that analysis is consistent","Define categories",21,5,
FailureModel,US2.2,"As a Senior Infra I want to simulate real deployment failure so that I observe behavior","Break deployment process",34,13,
FailureModel,US2.3,"As a Senior Infra I want to simulate node failure so that I observe system reaction","Shutdown node",34,13,
FailureModel,US2.4,"As a Senior Infra I want to simulate network disruption so that I observe system instability","Drop traffic",34,13,
FailureModel,US2.5,"As an Architect I want to quantify blast radius so that I measure impact","Measure affected services",21,8,
FailureModel,US2.6,"As a Senior Infra I want to simulate etcd inconsistency so that I observe system behavior","Inject inconsistency",34,13,
FailureModel,US2.7,"As an Architect I want to correlate failures with architecture so that I prove systemic design flaws","Map failures",34,13,

StatelessApp,US3.1,"As a Senior Infra I want to deploy a stateless control app so that I validate runtime compatibility","Deploy core control app",34,13,
